case_type,location,urgency_level,budget,preferred_language,case_complexity_score,specialization,city,experience,success_rate,rating,consultation_fee,availability,match
Property,Chennai,3,20537,Tamil,0.30327156021652996,Corporate,Chennai,11.340821051503985,0.8303286241467336,3.3902769640567603,14867,0,0
Criminal,Mumbai,3,27703,Hindi,0.4663282256550736,Civil,Chennai,5.8531799640786435,0.8444780207336032,3.6688657845210115,22187,0,0
Divorce,Chennai,1,22229,Hindi,0.23338765656598265,Criminal,Chennai,9.147429536041138,0.6968584868703266,3.67814861263328,5949,0,0
Criminal,Hyderabad,2,31384,Marathi,0.4685608230258979,Corporate,Pune,14.216185324050848,0.8916407203879735,4.389999033629759,10780,1,0
Criminal,Pune,1,29065,Tamil,0.7519799762437098,Civil,Delhi,12.626274803688819,0.7348742463481145,4.376965706564647,21668,0,0
Criminal,Pune,1,31973,Bengali,0.07744344884706401,Tax,Chennai,5.100276282461959,0.8952737492367814,3.511693110260383,7465,0,0
Contract,Mumbai,3,30949,Tamil,0.07366844748544078,Corporate,Mumbai,13.534576632045805,0.7922895486646717,4.308137264444964,10967,1,1
Corporate,Mumbai,5,32503,Kannada,0.47201644546618104,Family,Bengaluru,1.9439208926851155,0.8357544483694139,4.502795171880639,15059,1,0
Contract,Hyderabad,5,10774,Telugu,0.18468071920635815,Criminal,Hyderabad,7.875293364438616,0.4321874024921868,4.269502375272447,11029,1,0
Property,Delhi,4,25179,English,0.3073204329249698,Corporate,Chennai,13.757157192761927,0.7410079945143355,3.600253126570739,4942,1,0
Criminal,Hyderabad,3,29746,Tamil,0.7842006722765513,Family,Delhi,4.02679513466329,0.8944729279757843,4.585570981932901,8948,0,0
Corporate,Kolkata,2,31192,Marathi,0.33794934135363064,Criminal,Chennai,9.644624017439922,0.8403890132139329,4.490686025974805,14488,1,0
Corporate,Hyderabad,2,13834,Telugu,0.6014484140489318,Family,Hyderabad,10.346645214242473,0.4843819550012784,4.062506105441262,13378,1,0
Corporate,Bengaluru,4,25259,Bengali,0.30726884504870317,Criminal,Delhi,14.471036591554407,0.7384680003266264,4.622543075934873,14908,1,0
Corporate,Chennai,5,20601,Kannada,0.49037627100639586,Criminal,Mumbai,5.575927993397061,0.8661035184820404,4.692229881967766,18912,1,0
Divorce,Mumbai,5,34776,Tamil,0.3795506887874977,Criminal,Kolkata,12.235619399932503,0.8261443235930707,5.0,26490,1,0
Divorce,Pune,2,8901,Tamil,0.5930985609188035,Criminal,Bengaluru,4.534123467597976,0.8880699874949424,4.203620020510689,18118,0,0
Property,Hyderabad,3,13845,Hindi,0.157371016936842,Family,Kolkata,6.24015024401841,0.5646712660727015,4.206319060344106,23725,0,0
Divorce,Kolkata,3,5514,Bengali,0.5574331863643922,Criminal,Mumbai,8.051814242117851,0.7908714455788965,3.226473559141678,13142,0,0
Corporate,Pune,1,21156,English,0.06444436356560483,Criminal,Delhi,7.415117461796116,0.8584444155978446,4.500108229895107,9566,1,0
Contract,Bengaluru,1,38110,English,0.38114066172813005,Family,Mumbai,12.884054851278076,0.8299442817622145,3.9666858409734433,17878,1,0
Contract,Kolkata,1,19645,Marathi,0.27634636093337267,Tax,Chennai,20.170716330955408,0.7433333212390226,4.086918594841737,10773,0,0
Corporate,Delhi,4,20808,English,0.90549568053546,Corporate,Chennai,8.033676899151162,0.6892103097203711,3.1742072238852854,17359,0,0
Criminal,Mumbai,2,24401,Tamil,0.5829864984401811,Criminal,Hyderabad,8.190392309622355,0.6290681311699874,3.5089800467315655,20070,1,1
Corporate,Mumbai,4,19069,Hindi,0.14146322782988358,Corporate,Hyderabad,16.566964493326708,0.8719087250694733,3.936387907293186,12790,1,1
Divorce,Kolkata,2,22928,Kannada,0.5442956867537935,Criminal,Hyderabad,20.085429746981106,0.8296872726540402,3.2358845234458826,13676,1,0
Criminal,Delhi,4,23137,English,0.5662421854901168,Tax,Bengaluru,7.284890359643831,0.8666094303233035,4.558786485906975,13308,1,0
Contract,Pune,1,13235,Hindi,0.32633804281917383,Family,Bengaluru,9.638054327785229,0.7699752177378817,4.358458003257308,11697,1,0
Contract,Delhi,2,19247,Tamil,0.5804610080967659,Criminal,Delhi,1.3470532350100655,0.8141529737407878,4.539571921262274,9439,1,0
Corporate,Kolkata,2,25935,Telugu,0.2615682543244244,Criminal,Hyderabad,4.228401872763597,0.563577637914964,4.0283185672140815,13032,1,0
Corporate,Kolkata,3,27428,Hindi,0.5514505523002425,Corporate,Delhi,0.0,0.8282592618699087,5.0,14658,1,0
Divorce,Delhi,3,30388,English,0.36377164501424025,Tax,Hyderabad,6.5068751060797405,0.5108966307310601,5.0,1840,1,0
Corporate,Chennai,1,22683,English,0.9012143966926665,Civil,Hyderabad,16.410210208819862,0.6262349790237799,3.9995095761911026,13875,0,0
Criminal,Pune,4,22846,Hindi,0.3368431160709641,Tax,Mumbai,3.7033830778238643,0.9235912673155988,4.131790224599304,14122,1,0
Fraud,Mumbai,5,26001,Hindi,0.8053161309720368,Civil,Mumbai,4.859953602658997,0.5558508654003806,4.062718648991667,3622,1,0
Contract,Hyderabad,1,15241,English,0.16799479741549928,Corporate,Hyderabad,10.391937608928316,0.7475884038476053,3.652421569177185,19409,1,1
Divorce,Delhi,1,14913,Tamil,0.3700911218491732,Family,Pune,0.1532825884383957,0.8814531721668586,3.0977228206094187,20923,1,0
Fraud,Bengaluru,5,19001,Bengali,0.09057827588958971,Family,Kolkata,9.676704506040243,0.9254155987334703,3.8780970160681982,19706,1,0
Corporate,Hyderabad,4,9799,Kannada,0.6110860034146798,Criminal,Delhi,0.0,0.7758129294324323,4.550216237492037,7075,1,0
Tax,Delhi,5,23255,Telugu,0.6515320034653183,Civil,Delhi,6.703309137796534,0.6623262461660556,4.141740784093748,26032,1,0
Property,Kolkata,4,28392,Tamil,0.5167640751483618,Corporate,Bengaluru,0.21143430983438893,0.6745966725156302,3.713454782018411,12213,1,0
Property,Hyderabad,4,14319,Marathi,0.29691158861569666,Civil,Delhi,4.3616662200081,0.6541849418587351,4.827116565028613,13418,1,1
Fraud,Hyderabad,1,23481,Bengali,0.12121947455262833,Family,Pune,7.431225041408042,0.8352074664737923,4.366755853508716,11297,1,0
Tax,Delhi,3,14966,Tamil,0.8093306912478283,Criminal,Pune,7.464951765368684,0.8969181840429653,5.0,11853,1,0
Criminal,Hyderabad,2,11867,Hindi,0.1494183085826139,Corporate,Pune,7.048602785866848,0.7241210749891839,4.546807952563763,21828,1,0
Divorce,Hyderabad,5,36444,Bengali,0.3509201028417975,Tax,Mumbai,19.2604067405931,0.6600488728346985,4.429334256856317,17005,0,0
Property,Mumbai,1,11982,Tamil,0.6373870411792111,Criminal,Pune,11.657752731351408,0.5067405575141934,3.900928291496248,13387,1,0
Criminal,Hyderabad,1,9765,English,0.30550116508534625,Tax,Delhi,0.0,0.6253302934660219,4.597518374363376,15451,0,0
Divorce,Pune,3,21717,Hindi,0.18944468640028062,Family,Hyderabad,1.085725022959517,0.5560184882840183,3.429686604365652,1000,1,0
Criminal,Hyderabad,5,22148,Tamil,0.42804895349982675,Civil,Chennai,14.73940050811133,0.8005873156008145,4.179238441231186,13424,0,0
Property,Chennai,5,25337,Marathi,0.4029624759635337,Criminal,Bengaluru,8.062145488659759,0.8228009016933456,4.040730192625982,8034,1,0
Tax,Bengaluru,3,36009,Marathi,0.22953348480823357,Civil,Pune,14.375755393389957,0.8111364465332711,4.474196638139396,9518,1,0
Fraud,Bengaluru,3,13782,Hindi,0.7175653722398273,Corporate,Mumbai,13.210471954554318,0.6404319740948521,4.349992483106412,18318,1,0
Corporate,Bengaluru,2,15372,Marathi,0.39591062401993343,Family,Pune,6.652775667025519,0.7649488891996099,4.2134776099662075,17361,0,0
Contract,Delhi,5,32870,Bengali,0.4655840186276901,Family,Bengaluru,8.840259401967819,0.7420516788188043,4.874773034980404,9788,1,0
Divorce,Kolkata,1,27512,Marathi,0.24193408637740357,Civil,Kolkata,5.108439447764894,0.8449063779689908,5.0,18419,1,0
Corporate,Hyderabad,1,26400,Marathi,0.4086086443887811,Tax,Chennai,12.807740004309014,0.610192660570212,5.0,15818,1,0
Corporate,Hyderabad,3,15281,Marathi,0.33194215915150943,Family,Pune,8.70568714507255,0.8221027716746758,4.656786867988182,18352,1,0
Criminal,Pune,2,29007,Tamil,0.3058000276833489,Family,Kolkata,14.16841257692008,0.6258358663606308,4.394839594202455,13791,1,0
Tax,Hyderabad,3,26425,Kannada,0.5556142152390835,Corporate,Bengaluru,4.6573625542459,0.7572966002591429,4.64415181391968,7783,1,0
Contract,Mumbai,5,21516,Tamil,0.7290758924812701,Family,Delhi,6.691754942873605,0.7038274934253518,4.393755334303708,9284,0,0
Fraud,Mumbai,2,15320,Bengali,0.20494581578587587,Family,Kolkata,5.30946640862508,0.9095387160134774,4.696396778836258,13810,1,0
Fraud,Hyderabad,5,20853,Telugu,0.49896618128565057,Corporate,Pune,15.573660400921217,0.8272037728191481,4.056023085139088,11702,1,0
Fraud,Hyderabad,2,33187,Marathi,0.5472313778831821,Tax,Hyderabad,7.8428909927580674,0.7936328770455198,4.267689258706489,12684,1,0
Criminal,Bengaluru,2,11248,English,0.5372571353893826,Family,Mumbai,7.4847446388215175,0.7101147391150743,5.0,19009,1,0
Fraud,Bengaluru,1,13601,Telugu,0.18402870609788305,Civil,Bengaluru,7.060379514893057,0.5955944279099704,4.652941630811573,1000,1,0
Property,Hyderabad,4,14977,Bengali,0.11619437970487306,Family,Hyderabad,13.885424954932084,0.9224966725043504,4.5838550274498315,17824,1,0
Fraud,Kolkata,5,16713,Hindi,0.2984907278864725,Family,Mumbai,22.91909842020611,0.567954668612164,4.140281236557945,20647,1,0
Divorce,Hyderabad,5,19874,Marathi,0.555577948116286,Criminal,Pune,20.55889681410176,0.8281006591288436,4.183950852290164,13676,1,0
Divorce,Bengaluru,1,27668,Tamil,0.7142088216741462,Family,Delhi,11.571770485838973,0.43693185852556615,3.5746741998199707,16472,1,1
Divorce,Pune,4,23691,English,0.12337969331780557,Family,Bengaluru,3.2480644706346826,0.920184470185009,4.140956005151504,19081,1,1
Criminal,Chennai,1,20486,English,0.5945008676492629,Family,Chennai,5.076261747465814,0.873454684074735,4.236785569591084,14508,0,0
Criminal,Chennai,4,22215,English,0.15765799717388676,Tax,Mumbai,9.50056455986688,0.8835394699659502,4.313127414022669,15580,1,0
Contract,Hyderabad,4,24991,Tamil,0.8205899872203214,Tax,Kolkata,0.0,0.7391745317879792,3.4120260301618246,11780,0,0
Corporate,Mumbai,1,6546,Telugu,0.3136982386499508,Tax,Mumbai,4.757587150843484,0.4805788155614024,5.0,7324,1,0
Criminal,Pune,1,28572,Bengali,0.6137778692808268,Family,Delhi,12.368216625285298,0.8116917613516672,3.906836497994521,5089,1,0
Property,Delhi,1,13388,Marathi,0.28288449208041694,Tax,Kolkata,0.0,0.9192446121604168,3.265885050196449,20197,1,0
Tax,Hyderabad,4,16451,Hindi,0.8375822800187315,Tax,Delhi,10.654133631282551,0.6357941308234136,3.6416439420596207,10929,1,1
Corporate,Pune,4,22723,Tamil,0.47158881389232443,Criminal,Chennai,5.238287133416642,0.8017193704850397,3.4953910047178764,11615,0,0
Tax,Bengaluru,1,19396,Marathi,0.33922610488535915,Criminal,Chennai,4.795203947278425,0.5520193422870151,3.699488193784779,5947,1,0
Property,Hyderabad,3,23895,Kannada,0.027156522427101357,Corporate,Chennai,10.917991159117841,0.7604067999420254,4.375437833819941,14991,0,0
Corporate,Hyderabad,4,21134,English,0.3460131445279877,Civil,Pune,15.889586634035814,0.6838045500461821,4.767739986381831,20349,1,0
Contract,Hyderabad,2,17685,English,0.6816008336332984,Criminal,Hyderabad,7.645084511185805,0.5713881155911948,3.9371106080986187,5906,1,0
Corporate,Hyderabad,4,32230,Kannada,0.23591564790849193,Civil,Delhi,14.863407048710059,0.8625913226255633,2.615717688943384,16699,1,0
Corporate,Bengaluru,2,25664,Bengali,0.560218084670107,Corporate,Hyderabad,9.662529504354719,0.8020783443657485,3.28373738055758,15550,1,1
Property,Hyderabad,2,22416,English,0.2935786966464101,Criminal,Chennai,2.3332164929822072,0.8833302751676786,4.371830730251172,8437,0,0
Fraud,Bengaluru,2,25540,Hindi,0.21448873240947355,Tax,Pune,13.505729916645077,0.5906349525492299,3.430593425504736,12620,1,0
Property,Mumbai,2,14357,Hindi,0.11826629401911733,Tax,Chennai,14.551014591172361,0.7580746634120347,4.050609222019162,12836,1,0
Fraud,Kolkata,3,37398,Telugu,0.3146817713860643,Family,Delhi,9.981077452603229,0.7395549351418025,3.3534003463660187,13366,1,0
Contract,Pune,2,11298,Bengali,0.34568566745512214,Family,Delhi,1.6138850264457947,0.5763656297482517,4.029807528391879,21074,0,0
Contract,Delhi,2,20905,Bengali,0.7098353210845059,Family,Pune,0.6035448554735403,0.7923326261907301,3.9306665603193864,21291,1,0
Contract,Chennai,4,17708,Telugu,0.19085869917539014,Civil,Kolkata,10.359724587390845,0.652681715093109,3.9805389209041278,13438,1,0
Fraud,Hyderabad,2,17404,Marathi,0.6705512738656816,Criminal,Hyderabad,10.349444357502826,0.6260136779212572,3.83534280527234,18161,1,1
Tax,Hyderabad,4,16365,English,0.05923956920746018,Criminal,Delhi,11.535908296186829,0.9143626477685375,3.223428237837386,10709,0,0
Divorce,Chennai,1,13826,Tamil,0.10949853027688372,Family,Hyderabad,0.0,0.8349460838188074,4.709984917180837,6451,0,0
Fraud,Hyderabad,1,29506,Kannada,0.30110645665018254,Tax,Kolkata,3.6703632140711697,0.9089269204003156,3.959155220185119,13277,0,0
